,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,5.27855,97.19907,4.60956,98.77687,,
,,5.28834,97.19961,4.61728,98.77887,,
,,5.29813,97.20016,4.62501,98.78887,,
,,5.30792,97.20071,4.63273,98.79487,,
,,5.31845,97.20142,4.64045,98.79437,,
,,5.32824,97.202,4.64817,98.79137,,
,,5.33802,97.20258,4.65589,98.79137,,
,,5.34781,97.20318,4.66361,98.79187,,
,,5.35834,97.20392,4.67133,98.79587,,
,,5.36812,97.20454,4.67905,98.79687,,
,,5.3779,97.20516,4.68678,98.78887,,
,,5.38843,97.20593,4.6945,98.79237,,
,,5.39821,97.20657,4.70222,98.79987,,
,,5.40799,97.20721,4.70994,98.79037,,
,,5.41776,97.20786,4.71766,98.77837,,
,,5.42829,97.20866,4.72538,98.77437,,
,,5.43806,97.20933,4.7331,98.77387,,
,,5.44783,97.21,4.74082,98.77087,,
,,5.45836,97.21082,4.74855,98.76287,,
,,5.46813,97.2115,4.75627,98.75737,,
,,5.47789,97.21219,4.76399,98.76037,,
,,5.48841,97.21303,4.77171,98.76287,,
,,5.49818,97.21373,4.77943,98.76237,,
,,5.50794,97.21443,4.78715,98.76387,,
,,5.51771,97.21514,4.79487,98.76587,,
,,5.52822,97.216,4.80259,98.76787,,
,,5.53798,97.21672,4.81031,98.76587,,
,,5.54774,97.21744,4.81804,98.76187,,
,,5.55825,97.21831,4.82576,98.75187,,
,,5.56801,97.21903,4.83348,98.74637,,
,,5.57777,97.21976,4.8412,98.74837,,
,,5.58827,97.22064,4.84892,98.74037,,
,,5.59803,97.22138,4.85664,98.72787,,
,,5.60778,97.22212,4.86436,98.71787,,
,,5.61828,97.223,4.87208,98.71237,,
,,5.62803,97.22374,4.87981,98.70687,,
,,5.63778,97.22449,4.88753,98.69537,,
,,5.64828,97.22538,4.89525,98.68137,,
,,5.65803,97.22612,4.90297,98.67687,,
,,5.66777,97.22687,4.91069,98.68087,,
,,5.67827,97.22776,4.91841,98.67837,,
,,5.68801,97.22851,4.92613,98.66887,,
,,5.69775,97.22926,4.93385,98.66437,,
,,5.70825,97.23015,4.94158,98.66537,,
,,5.71799,97.2309,4.9493,98.66487,,
,,5.72772,97.23165,4.95702,98.65487,,
,,5.73821,97.23254,4.96474,98.64387,,
,,5.74795,97.23328,4.97246,98.64237,,
,,5.75768,97.23403,4.98018,98.64437,,
,,5.76817,97.23492,4.9879,98.64237,,
,,5.7779,97.23566,4.99562,98.63387,,
,,5.78763,97.2364,5.00335,98.62837,,
,,5.79811,97.23728,5.01107,98.62587,,
,,5.80784,97.23802,5.01879,98.61337,,
,,5.81757,97.23875,5.02651,98.59687,,
,,5.82804,97.23963,5.03423,98.59937,,
,,5.83777,97.24036,5.04195,98.60387,,
,,5.84749,97.24108,5.04967,98.59687,,
,,5.85796,97.24195,5.05739,98.59087,,
,,5.86768,97.24267,5.06511,98.59137,,
,,5.87815,97.24353,5.07284,98.59237,,
,,5.88787,97.24424,5.08056,98.58367,,
,,5.89759,97.24495,5.08828,98.57512,,
,,5.90805,97.2458,5.096,98.57802,,
,,5.91777,97.2465,5.10372,98.57632,,
,,5.92748,97.2472,5.11144,98.57672,,
,,5.93794,97.24803,5.11916,98.57432,,
,,5.94765,97.24872,5.12688,98.56917,,
,,5.95811,97.24954,5.13461,98.56662,,
,,5.96782,97.25022,5.14233,98.56077,,
,,5.97753,97.25089,5.15005,98.54537,,
,,5.98798,97.25169,5.15777,98.55077,,
,,5.99769,97.25236,5.16549,98.56337,,
,,6.00814,97.25315,5.17321,98.55767,,
,,6.01784,97.2538,5.18093,98.55447,,
,,6.02754,97.25445,5.18865,98.56027,,
,,6.03799,97.25522,5.19638,98.55212,,
,,6.04769,97.25586,5.2041,98.53502,,
,,6.05738,97.25648,5.21182,98.52342,,
,,6.06783,97.25723,5.21954,98.51367,,
,,6.07752,97.25785,5.22726,98.52252,,
,,6.08796,97.25859,5.23498,98.52257,,
,,6.09765,97.25919,5.2427,98.51647,,
,,6.10809,97.25991,5.25042,98.52092,,
,,6.11778,97.26049,5.25814,98.52287,,
,,6.12747,97.26107,5.26587,98.52392,,
,,6.1379,97.26177,5.27359,98.51792,,
,,6.14759,97.26234,5.28131,98.50332,,
,,6.15802,97.26302,5.28903,98.49122,,
,,6.1677,97.26356,5.29675,98.47932,,
,,6.17738,97.2641,5.30447,98.48572,,
,,6.18781,97.26476,5.31219,98.49047,,
,,6.19749,97.26528,5.31991,98.48842,,
,,6.20791,97.26592,5.32764,98.48527,,
,,6.21759,97.26642,5.33536,98.47877,,
,,6.22801,97.26704,5.34308,98.46422,,
,,6.23768,97.26753,5.3508,98.42302,,
,,6.24735,97.26801,5.35852,98.40367,,
,,6.25777,97.2686,5.36624,98.43147,,
,,6.26744,97.26906,5.37396,98.45117,,
,,6.27785,97.26963,5.38168,98.45377,,
,,6.28752,97.27007,5.38941,98.45467,,
,,6.29793,97.27062,5.39713,98.45512,,
,,6.30759,97.27104,5.40485,98.45587,,
,,6.31726,97.27146,5.41257,98.45497,,
,,6.32766,97.27197,5.42029,98.42982,,
,,6.33732,97.27237,5.42801,98.40432,,
,,6.34773,97.27286,5.43573,98.42477,,
,,6.35738,97.27324,5.44345,98.45037,,
,,6.36778,97.27371,5.45118,98.46307,,
,,6.37744,97.27406,5.4589,98.46032,,
,,6.38784,97.27451,5.46662,98.42977,,
,,6.39749,97.27485,5.47434,98.41552,,
,,6.40788,97.27527,5.48206,98.42217,,
,,6.41753,97.27558,5.48978,98.44422,,
,,6.42718,97.27589,5.4975,98.47062,,
,,6.43757,97.27628,5.50522,98.47967,,
,,6.44722,97.27656,5.51294,98.47537,,
,,6.4576,97.27692,5.52067,98.45747,,
,,6.46725,97.27718,5.52839,98.44432,,
,,6.47763,97.27752,5.53611,98.46452,,
,,6.48727,97.27776,5.54383,98.47912,,
,,6.49765,97.27807,5.55155,98.46242,,
,,6.50729,97.27828,5.55927,98.44672,,
,,6.51767,97.27858,5.56699,98.46192,,
,,6.5273,97.27876,5.57471,98.46732,,
,,6.53767,97.27903,5.58244,98.44292,,
,,6.54731,97.2792,5.59016,98.45552,,
,,6.55768,97.27944,5.59788,98.48972,,
,,6.56731,97.27958,5.6056,98.50407,,
,,6.57768,97.27979,5.61332,98.51017,,
,,6.5873,97.27991,5.62104,98.52137,,
,,6.59767,97.2801,5.62876,98.53717,,
,,6.60729,97.28019,5.63648,98.52862,,
,,6.61765,97.28035,5.64421,98.47512,,
,,6.62727,97.28042,5.65193,98.45927,,
,,6.63763,97.28055,5.65965,98.49757,,
,,6.64725,97.28059,5.66737,98.54082,,
,,6.65761,97.2807,5.67509,98.54292,,
,,6.66722,97.28072,5.68281,98.52912,,
,,6.67757,97.2808,5.69053,98.53367,,
,,6.68719,97.28079,5.69825,98.55037,,
,,6.69754,97.28084,5.70598,98.54757,,
,,6.70715,97.28081,5.7137,98.50237,,
,,6.71749,97.28083,5.72142,98.46917,,
,,6.7271,97.28077,5.72914,98.49237,,
,,6.73744,97.28077,5.73686,98.53032,,
,,6.74705,97.28068,5.74458,98.54132,,
,,6.75739,97.28065,5.7523,98.54552,,
,,6.76699,97.28054,5.76002,98.54387,,
,,6.77733,97.28048,5.76774,98.49077,,
,,6.78766,97.2804,5.77547,98.45492,,
,,6.79726,97.28025,5.78319,98.49507,,
,,6.80759,97.28014,5.79091,98.54247,,
,,6.81718,97.27997,5.79863,98.56942,,
,,6.82751,97.27983,5.80635,98.58822,,
,,6.83711,97.27963,5.81407,98.58447,,
,,6.84743,97.27946,5.82179,98.51242,,
,,6.85702,97.27923,5.82951,98.44102,,
,,6.86734,97.27904,5.83724,98.45917,,
,,6.87693,97.27878,5.84496,98.51642,,
,,6.88725,97.27856,5.85268,98.54887,,
,,6.89757,97.27832,5.8604,98.53587,,
,,6.90715,97.27802,5.86812,98.52087,,
,,6.91746,97.27775,5.87584,98.50657,,
,,6.92704,97.27743,5.88356,98.45432,,
,,6.93735,97.27713,5.89128,98.40687,,
,,6.94693,97.27677,5.89901,98.41492,,
,,6.95723,97.27645,5.90673,98.46227,,
,,6.96754,97.2761,5.91445,98.50557,,
,,6.97711,97.27571,5.92217,98.52167,,
,,6.98742,97.27533,5.92989,98.49652,,
,,6.99698,97.27491,5.93761,98.41217,,
,,7.00728,97.27451,5.94533,98.36132,,
,,7.01685,97.27406,5.95305,98.41262,,
,,7.02714,97.27362,5.96078,98.47332,,
,,7.03744,97.27317,5.9685,98.47482,,
,,7.047,97.27268,5.97622,98.44997,,
,,7.05729,97.2722,5.98394,98.42927,,
,,7.06685,97.27168,5.99166,98.40937,,
,,7.07714,97.27117,5.99938,98.42292,,
,,7.08743,97.27064,6.0071,98.46037,,
,,7.09698,97.27008,6.01482,98.46907,,
,,7.10726,97.26952,6.02254,98.46442,,
,,7.11681,97.26893,6.03027,98.49442,,
,,7.12709,97.26835,6.03799,98.51962,,
,,7.13737,97.26774,6.04571,98.46367,,
,,7.14692,97.26711,6.05343,98.36562,,
,,7.15719,97.26648,6.06115,98.35312,,
,,7.16747,97.26583,6.06887,98.37307,,
,,7.17701,97.26515,6.07659,98.37377,,
,,7.18728,97.26447,6.08431,98.40762,,
,,7.19681,97.26377,6.09204,98.47162,,
,,7.20708,97.26306,6.09976,98.51577,,
,,7.21735,97.26234,6.10748,98.50327,,
,,7.22688,97.26159,6.1152,98.44002,,
,,7.23714,97.26083,6.12292,98.43272,,
,,7.2474,97.26006,6.13064,98.48382,,
,,7.25693,97.25927,6.13836,98.51682,,
,,7.26719,97.25847,6.14608,98.51317,,
,,7.27671,97.25766,6.15381,98.49447,,
,,7.28697,97.09918,6.16153,98.47792,,
,,7.29722,97.07289,6.16925,98.48137,,
,,7.30674,97.03624,6.17697,98.49417,,
,,7.31699,96.98147,6.18469,98.48567,,
,,7.32724,96.96933,6.19241,98.47902,,
,,7.33675,96.90418,6.20013,98.50207,,
,,7.34699,96.7704,6.20785,98.52292,,
,,7.35724,96.67689,6.21558,98.52047,,
,,7.36675,96.60641,6.2233,98.51547,,
,,7.37698,96.5503,6.23102,98.52407,,
,,7.38722,96.50377,6.23874,98.53807,,
,,7.39673,96.46396,6.24646,98.54802,,
,,7.40696,96.42901,6.25418,98.55202,,
,,7.41719,96.39771,6.2619,98.54772,,
,,7.42669,96.36923,6.26962,98.54082,,
,,7.43692,96.34295,6.27734,98.54207,,
,,7.44715,96.31842,6.28507,98.55337,,
,,7.45664,96.29548,6.29279,98.56487,,
,,7.46687,96.27381,6.30051,98.57452,,
,,7.47709,96.25323,6.30823,98.58182,,
,,7.48731,96.23359,6.31595,98.58732,,
,,7.4968,96.21477,6.32367,98.59587,,
,,7.50701,96.19663,6.33139,98.59987,,
,,7.51723,96.00773,6.33911,98.57217,,
,,7.52671,95.9375,6.34684,98.52342,,
,,7.53692,95.89702,6.35456,98.52032,,
,,7.54713,95.86856,6.36228,98.54922,,
,,7.55661,95.84627,6.37,98.54912,,
,,7.56682,95.82759,6.37772,98.52852,,
,,7.57702,95.81133,6.38544,98.53477,,
,,7.58723,95.79686,6.39316,98.56657,,
,,7.5967,95.78388,6.40088,98.59247,,
,,7.6069,95.77218,6.40861,98.54797,,
,,7.61709,95.76182,6.41633,98.41497,,
,,7.62656,95.753,6.42405,98.35412,,
,,7.63675,95.74532,6.43177,98.39777,,
,,7.64695,95.73858,6.43949,98.46057,,
,,7.65714,95.7326,6.44721,98.50157,,
,,7.6666,95.72728,6.45493,98.52792,,
,,7.67678,95.72244,6.46265,98.54647,,
,,7.68697,95.71804,6.47038,98.54977,,
,,7.69715,95.71401,6.4781,98.52437,,
,,7.7066,95.71035,6.48582,98.46317,,
,,7.71678,95.70691,6.49354,98.40022,,
,,7.72696,95.64893,6.50126,98.39317,,
,,7.73714,95.64846,6.50898,98.44242,,
,,7.74658,95.64802,6.5167,98.48807,,
,,7.75676,95.64752,6.52442,98.50392,,
,,7.76693,95.647,6.53214,98.51492,,
,,7.77709,95.64647,6.53987,98.53667,,
,,7.78653,95.64599,6.54759,98.54732,,
,,7.7967,95.64543,6.55531,98.53767,,
,,7.80686,95.64486,6.56303,98.50907,,
,,7.81702,95.64427,6.57075,98.45807,,
,,7.82646,95.64373,6.57847,98.40947,,
,,7.83661,95.64311,6.58619,98.39282,,
,,7.84677,95.64248,6.59391,98.40792,,
,,7.85692,95.64184,6.60164,98.44452,,
,,7.86707,95.64118,6.60936,98.48727,,
,,7.8765,95.64057,6.61708,98.51602,,
,,7.88665,95.63988,6.6248,98.50597,,
,,7.89679,95.63918,6.63252,98.44467,,
,,7.90694,95.63847,6.64024,98.37227,,
,,7.91636,95.63781,6.64796,98.38607,,
,,7.9265,95.63707,6.65568,98.45952,,
,,7.93664,95.63631,6.66341,98.51302,,
,,7.94677,95.63555,6.67113,98.52147,,
,,7.95691,95.63476,6.67885,98.50122,,
,,7.96704,95.63397,6.68657,98.49042,,
,,7.97645,95.63323,6.69429,98.50262,,
,,7.98658,95.63241,6.70201,98.51382,,
,,7.9967,95.63157,6.70973,98.49662,,
,,8.00683,95.63073,6.71745,98.45882,,
,,8.01695,95.62986,6.72518,98.45767,,
,,8.02635,95.62907,6.7329,98.49602,,
,,8.03647,95.62818,6.74062,98.53547,,
,,8.04659,95.62728,6.74834,98.56052,,
,,8.05671,95.62637,6.75606,98.57137,,
,,8.06682,95.62544,6.76378,98.57082,,
,,8.07693,95.6245,6.7715,98.55837,,
,,8.08632,95.62364,6.77922,98.52997,,
,,8.09643,95.62267,6.78694,98.49127,,
,,8.10654,95.6217,6.79467,98.47992,,
,,8.11664,95.62071,6.80239,98.50682,,
,,8.12675,95.6197,6.81011,98.54397,,
,,8.13685,95.61869,6.81783,98.56507,,
,,8.14694,95.61766,6.82555,98.56387,,
,,8.15632,95.61672,6.83327,98.55612,,
,,8.16642,95.61567,6.84099,98.56822,,
,,8.17651,95.61461,6.84871,98.58107,,
,,8.1866,95.61353,6.85644,98.54892,,
,,8.19669,95.61245,6.86416,98.48992,,
,,8.20678,95.61135,6.87188,98.45412,,
,,8.21686,95.61024,6.8796,98.46612,,
,,8.22623,95.60922,6.88732,98.50437,,
,,8.23631,95.60809,6.89504,98.52772,,
,,8.24639,95.60695,6.90276,98.52447,,
,,8.25646,95.60579,6.91048,98.51552,,
,,8.26654,95.60463,6.91821,98.51217,,
,,8.27661,95.60345,6.92593,98.51752,,
,,8.28669,95.60226,6.93365,98.52887,,
,,8.29676,95.60106,6.94137,98.54032,,
,,8.30682,95.59985,6.94909,98.53807,,
,,8.31617,95.59874,6.95681,98.51437,,
,,8.32623,95.59751,6.96453,98.48467,,
,,8.3363,95.59627,6.97225,98.46532,,
,,8.34636,95.59502,6.97998,98.46437,,
,,8.35641,95.59376,6.9877,98.46457,,
,,8.36647,95.59248,6.99542,98.45622,,
,,8.37652,95.5912,7.00314,98.45247,,
,,8.38658,95.58991,7.01086,98.45552,,
,,8.39663,95.5886,7.01858,98.46377,,
,,8.40667,95.58729,7.0263,98.47097,,
,,8.41672,95.58596,7.03402,98.46402,,
,,8.42676,95.58463,7.04174,98.43487,,
,,8.43609,95.58341,7.04947,98.39862,,
,,8.44613,95.58205,7.05719,98.37487,,
,,8.45617,95.58069,7.06491,98.38342,,
,,8.4662,95.57932,7.07263,98.41242,,
,,8.47624,95.57794,7.08035,98.43292,,
,,8.48627,95.57655,7.08807,98.44482,,
,,8.4963,95.57515,7.09579,98.44937,,
,,8.50633,95.57374,7.10351,98.44842,,
,,8.51635,95.57329,7.11124,98.43822,,
,,8.52638,95.57285,7.11896,98.42752,,
,,8.5364,95.5724,7.12668,98.42007,,
,,8.54642,95.57195,7.1344,98.41587,,
,,8.55644,95.5715,7.14212,98.41027,,
,,8.56645,95.57105,7.14984,98.39887,,
,,8.57646,95.5706,7.15756,98.39012,,
,,8.58648,95.57015,7.16528,98.38707,,
,,8.59649,95.5697,7.17301,98.38917,,
,,8.60649,95.56925,7.18073,98.39817,,
,,8.6165,95.5688,7.18845,98.40847,,
,,8.6265,95.56835,7.19617,98.41382,,
,,8.6365,95.5679,7.20389,98.41172,,
,,8.6465,95.56745,7.21161,98.40067,,
,,8.6565,95.567,7.21933,98.39462,,
,,8.6665,95.56655,7.22705,98.39497,,
,,8.67649,95.5661,7.23478,98.39727,,
,,8.68648,95.56566,7.2425,98.39812,,
,,8.69647,95.56522,7.25022,98.39112,,
,,8.70646,95.56478,7.25794,98.37557,,
,,8.71644,95.56434,7.26566,98.35342,,
,,8.72642,95.5639,7.27338,98.32587,,
,,8.7364,95.56347,7.2811,98.30337,,
,,8.74638,95.56304,7.28882,98.29072,,
,,8.75636,95.56261,7.29654,98.28167,,
,,8.76633,95.56218,7.30427,98.27207,,
,,8.7763,95.56176,7.31199,98.25752,,
,,8.78627,95.56134,7.31971,98.23932,,
,,8.79624,95.56093,7.32743,98.21722,,
,,8.80621,95.56052,7.33515,98.19032,,
,,8.81617,95.56011,7.34287,98.16267,,
,,8.82613,95.55971,7.35059,98.14442,,
,,8.83609,95.55931,7.35831,98.13152,,
,,8.84605,95.55892,7.36604,98.12167,,
,,8.85601,95.55853,7.37376,98.10502,,
,,8.86596,95.55815,7.38148,98.08412,,
,,8.87591,95.55777,7.3892,98.06102,,
,,8.88586,95.5574,7.39692,98.03732,,
,,8.89652,95.55689,7.40464,98.01387,,
,,8.90646,95.55653,7.41236,97.99152,,
,,8.91641,95.55618,7.42008,97.97047,,
,,8.92635,95.55583,7.42781,97.95192,,
,,8.93628,95.55549,7.43553,97.93187,,
,,8.94622,95.55516,7.44325,97.90597,,
,,8.95615,95.55484,7.45097,97.87257,,
,,8.96609,95.55452,7.45869,97.82647,,
,,8.97602,95.55421,7.46641,97.78162,,
,,8.98594,95.55391,7.47413,97.74202,,
,,8.99587,95.55362,7.48185,97.71332,,
,,9.00579,95.55333,7.48958,97.69042,,
,,9.01642,95.55291,7.4973,97.66462,,
,,9.02634,95.55264,7.50502,97.63432,,
,,9.03626,95.55239,7.51274,97.59532,,
,,9.04617,95.55214,7.52046,97.55142,,
,,9.05608,95.5519,7.52818,97.50407,,
,,9.06599,95.55168,7.5359,97.45322,,
,,9.0759,95.55146,7.54362,97.40192,,
,,9.08581,95.55126,7.55134,97.35087,,
,,9.09571,95.55106,7.55907,97.30032,,
,,9.10632,95.55072,7.56679,97.24207,,
,,9.11622,95.55055,7.57451,97.17397,,
,,9.12612,95.55039,7.58223,97.09712,,
,,9.13601,95.55025,7.58995,97.01082,,
,,9.1459,95.55011,7.59767,96.92552,,
,,9.15579,95.54999,7.60539,96.84112,,
,,9.16568,95.54988,7.61311,96.75807,,
,,9.17627,95.54963,7.62084,96.66912,,
,,9.18616,95.54955,7.62856,96.57317,,
,,9.19604,95.54948,7.63628,96.46767,,
,,9.20592,95.54943,7.644,96.34562,,
,,9.2158,95.54939,7.65172,96.21552,,
,,9.22567,95.54937,7.65944,96.07762,,
,,9.23625,95.54921,7.66716,95.92847,,
,,9.24612,95.54921,7.67488,95.77247,,
,,9.25599,95.54924,7.68261,95.60932,,
,,9.26585,95.54928,7.69033,95.42717,,
,,9.27572,95.54934,7.69805,95.22812,,
,,9.28628,95.54925,7.70577,95.01372,,
,,9.29614,95.54934,7.71349,94.76932,,
,,9.306,95.54945,7.72121,94.50542,,
,,9.31585,95.54958,7.72893,94.22517,,
,,9.32571,95.54973,7.73665,93.91517,,
,,9.33626,95.54974,7.74438,93.58002,,
,,9.34611,95.54992,7.7521,93.22437,,
,,9.35595,95.55012,7.75982,92.82882,,
,,9.3658,95.55035,7.76754,92.39867,,
,,9.37564,95.5506,7.77526,91.94007,,
,,9.38618,95.5507,7.78298,91.42057,,
,,9.39602,95.55099,7.7907,90.85082,,
,,9.40585,95.5513,7.79842,90.24092,,
,,9.41568,95.55163,7.80614,89.54992,,
,,9.42621,95.55182,7.81387,88.80727,,
,,9.43604,95.5522,7.82159,88.02217,,
,,9.44587,95.5526,7.82931,87.14952,,
,,9.45569,95.55302,7.83703,86.22887,,
,,9.46551,95.55347,7.84475,85.26387,,
,,9.47603,95.55378,7.85247,84.20412,,
,,9.48585,95.55428,7.86019,83.10257,,
,,9.49566,95.5548,7.86791,81.95017,,
,,9.50617,95.55519,7.87564,80.72817,,
,,9.51598,95.55577,7.88336,79.48102,,
,,9.52579,95.55637,7.89108,78.20037,,
,,9.53559,95.55701,7.8988,76.90172,,
,,9.54609,95.5575,7.90652,75.60192,,
,,9.55589,95.55819,7.91424,74.30922,,
,,9.56569,95.55891,7.92196,73.04382,,
,,9.57549,95.55966,7.92968,71.80087,,
,,9.58598,95.56027,7.93741,70.62747,,
,,9.59577,95.56108,7.94513,69.52037,,
,,9.60556,95.56192,7.95285,68.47087,,
,,9.61604,95.56263,7.96057,67.56257,,
,,9.62583,95.56354,7.96829,66.71882,,
,,9.63561,95.56448,7.97601,65.97082,,
,,9.64608,95.56529,7.98373,65.34492,,
,,9.65586,95.56629,7.99145,64.78272,,
,,9.66563,95.56733,7.99918,64.34502,,
,,9.67541,95.56841,8.0069,63.99672,,
,,9.68587,95.56936,8.01462,63.70792,,
,,9.69564,95.57051,8.02234,63.55302,,
,,9.7054,95.5717,8.03006,63.44452,,
,,9.71586,95.57276,8.03778,63.40752,,
,,9.72562,95.57403,8.0455,63.45057,,
,,9.73538,95.57533,8.05322,63.53062,,
,,9.74583,95.57651,8.06094,63.68492,,
,,9.75558,95.5779,8.06867,63.87942,,
,,9.76603,95.57917,8.07639,64.10782,,
,,9.77578,95.58064,8.08411,64.39007,,
,,9.78552,95.58215,8.09183,64.68962,,
,,9.79596,95.58355,8.09955,65.02107,,
,,9.8057,95.58515,8.10727,65.37432,,
,,9.81544,95.5868,8.11499,65.73922,,
,,9.82587,95.58833,8.12271,66.12877,,
,,9.83561,95.59008,8.13044,66.52312,,
,,9.84534,95.59187,8.13816,66.92687,,
,,9.85576,95.59355,8.14588,67.33647,,
,,9.86549,95.59544,8.1536,67.74852,,
,,9.87591,95.59722,8.16132,68.16802,,
,,9.88563,95.59922,8.16904,68.58817,,
,,9.89535,95.60126,8.17676,69.01007,,
,,9.90576,95.60321,8.18448,69.42667,,
,,9.91547,95.60536,8.19221,69.84017,,
,,9.92588,95.60741,8.19993,70.24207,,
,,9.93559,95.60968,8.20765,70.63992,,
,,9.94529,95.61201,8.21537,71.03112,,
,,9.95569,95.61424,8.22309,71.41467,,
,,9.96539,95.61669,8.23081,71.79427,,
,,9.97578,95.61904,8.23853,72.16067,,
,,9.98548,95.62161,8.24625,72.52287,,
,,9.99587,95.62409,8.25398,72.87647,,
,,10.00556,95.62679,8.2617,73.22342,,
,,10.01525,95.62956,8.26942,73.56562,,
,,10.02563,95.63224,8.27714,73.89802,,
,,10.03531,95.63514,8.28486,74.22657,,
,,10.04569,95.63796,8.29258,74.54532,,
,,10.05537,95.64101,8.3003,74.85767,,
,,10.06573,95.64397,8.30802,75.16292,,
,,10.07541,95.64717,8.31574,75.45982,,
,,10.08577,95.65028,8.32347,75.75342,,
,,10.09544,95.65359,8.33119,76.03922,,
,,10.1058,95.65677,8.33891,76.32242,,
,,10.11546,95.6601,8.34663,76.59972,,
,,10.12582,95.6633,8.35435,76.87152,,
,,10.13548,95.66666,8.36207,77.13842,,
,,10.14513,95.67004,8.36979,77.39712,,
,,10.15548,95.67328,8.37751,77.65287,,
,,10.16513,95.67669,8.38524,77.89952,,
,,10.17547,95.67995,8.39296,78.14347,,
,,10.18512,95.68338,8.40068,78.38132,,
,,10.19545,95.68668,8.4084,78.61497,,
,,10.20578,95.68998,8.41612,78.84497,,
,,10.21542,95.69345,8.42384,79.07007,,
,,10.22575,95.69678,8.43156,79.29342,,
,,10.23538,95.70027,8.43928,79.51172,,
,,10.2457,95.70363,8.44701,79.72862,,
,,10.25533,95.70715,8.45473,79.94137,,
,,10.26564,95.71053,8.46245,80.15162,,
,,10.27527,95.71407,8.47017,80.35857,,
,,10.28558,95.71749,8.47789,80.56242,,
,,10.2952,95.72105,8.48561,80.76432,,
,,10.3055,95.72449,8.49333,80.96287,,
,,10.31511,95.72809,8.50105,81.16027,,
,,10.32541,95.73155,8.50878,81.35257,,
,,10.33571,95.73502,8.5165,81.54327,,
,,10.34531,95.73866,8.52422,81.72947,,
,,10.3556,95.74216,8.53194,81.91482,,
,,10.36521,95.74581,8.53966,82.09897,,
,,10.37549,95.74934,8.54738,82.28437,,
,,10.38509,95.75302,8.5551,82.47047,,
,,10.39536,95.75657,8.56282,82.65627,,
,,10.40564,95.76014,8.57054,82.84177,,
,,10.41523,95.76385,8.57827,83.02267,,
,,10.4255,95.76744,8.58599,83.20262,,
,,10.43508,95.77119,8.59371,83.37867,,
,,10.44535,95.7748,8.60143,83.55437,,
,,10.45561,95.77843,8.60915,83.72967,,
,,10.46519,95.7822,8.61687,83.90482,,
,,10.47544,95.78586,8.62459,84.07992,,
,,10.48501,95.78966,8.63231,84.25357,,
,,10.49526,95.79333,8.64004,84.42602,,
,,10.50551,95.79702,8.64776,84.59627,,
,,10.51507,95.80085,8.65548,84.76532,,
,,10.52532,95.80457,8.6632,84.93177,,
,,10.53556,95.80829,8.67092,85.09737,,
,,10.54511,95.81216,8.67864,85.25992,,
,,10.55534,95.8159,8.68636,85.42207,,
,,10.56558,95.81966,8.69408,85.58392,,
,,10.57512,95.82356,8.70181,85.74632,,
,,10.58535,95.82734,8.70953,85.91232,,
,,10.59489,95.83126,8.71725,86.07977,,
,,10.60511,95.83507,8.72497,86.25107,,
,,10.61533,95.83888,8.73269,86.42297,,
,,10.62554,95.84271,8.74041,86.59602,,
,,10.63507,95.84667,8.74813,86.76872,,
,,10.64528,95.85051,8.75585,86.94107,,
,,10.65548,95.85437,8.76357,87.11367,,
,,10.66501,95.85836,8.7713,87.28642,,
,,10.67521,95.86224,8.77902,87.45902,,
,,10.6854,95.86612,8.78674,87.63147,,
,,10.69492,95.87014,8.79446,87.80217,,
,,10.70511,95.87405,8.80218,87.97202,,
,,10.7153,95.87797,8.8099,88.14222,,
,,10.72548,95.88189,8.81762,88.31222,,
,,10.73499,95.88594,8.82534,88.48687,,
,,10.74517,95.88989,8.83307,88.66207,,
,,10.75534,95.89384,8.84079,88.84277,,
,,10.76484,95.89791,8.84851,89.02377,,
,,10.77501,95.90189,8.85623,89.21002,,
,,10.78518,95.90586,8.86395,89.39632,,
,,10.79534,95.90984,8.87167,89.58827,,
,,10.80483,95.91395,8.87939,89.77997,,
,,10.81499,95.91795,8.88711,89.97442,,
,,10.82515,95.92196,8.89484,90.16852,,
,,10.8353,95.92596,8.90256,90.36257,,
,,10.84477,95.9301,8.91028,90.55637,,
,,10.85492,95.93412,8.918,90.75092,,
,,10.86507,95.93815,8.92572,90.94527,,
,,10.87521,95.94218,8.93344,91.14047,,
,,10.88535,95.94622,8.94116,91.33492,,
,,10.89481,95.95037,8.94888,91.52597,,
,,10.90494,95.95442,8.95661,91.71597,,
,,10.91507,95.95847,8.96433,91.89862,,
,,10.9252,95.96252,8.97205,92.08012,,
,,10.93532,95.96657,8.97977,92.25247,,
,,10.94477,95.97073,8.98749,92.42357,,
,,10.95489,95.97479,8.99521,92.58212,,
,,10.965,95.97884,9.00293,92.73947,,
,,10.97511,95.9829,9.01065,92.88032,,
,,10.98522,95.98695,9.01837,93.02042,,
,,10.99533,95.991,9.0261,93.14267,,
,,11.00476,95.99515,9.03382,93.26472,,
,,11.01486,95.9992,9.04154,93.36737,,
,,11.02496,96.00324,9.04926,93.46957,,
,,11.03505,96.00727,9.05698,93.55042,,
,,11.04514,96.0113,9.0647,93.62982,,
